id,opt,code,nfeval,min,elapsed
AO,LN_BOBYQA,FTOL_REACHED,61,962173.5639511738,0.086583458
AO,LN_COBYLA,FTOL_REACHED,187,962173.5639496061,0.098414081
AO,LN_NELDERMEAD,FTOL_REACHED,122,962173.5639502022,0.08287807
AO,LN_PRAXIS,FTOL_REACHED,108,962173.5639495613,0.058227033
AO,LN_SBPLX,FTOL_REACHED,166,962173.5639496015,0.09130295
AP,LN_BOBYQA,FTOL_REACHED,1098,884957.5539482117,28.760444763
AP,LN_COBYLA,FTOL_REACHED,32769,884957.5539403805,846.122139847
AP,LN_NELDERMEAD,FTOL_REACHED,3439,885057.7446955243,88.935224346
AP,LN_PRAXIS,FTOL_REACHED,873,884957.5539352352,24.709792344
AP,LN_SBPLX,FTOL_REACHED,785,884957.5539362914,20.506605582
AQ,LN_BOBYQA,FTOL_REACHED,14,46331.43240584544,0.000618779
AQ,LN_COBYLA,FTOL_REACHED,27,46331.43240584769,0.000765985
AQ,LN_NELDERMEAD,FTOL_REACHED,41,46331.43240584769,0.00105861
AQ,LN_PRAXIS,MAXEVAL_REACHED,100000,46331.432405845364,2.090688954
AQ,LN_SBPLX,FTOL_REACHED,67,46331.43240584589,0.00770426
AR,LN_BOBYQA,FTOL_REACHED,15,-10.810228068600594,0.000362971
AR,LN_COBYLA,FTOL_REACHED,25,-10.810228068523276,0.000515902
AR,LN_NELDERMEAD,FTOL_REACHED,26,-10.810228012914177,0.00045311
AR,LN_PRAXIS,MAXEVAL_REACHED,100000,-10.81022806860108,1.514869069
AR,LN_SBPLX,FTOL_REACHED,50,-10.810228068523276,0.000839093
AS,LN_BOBYQA,FTOL_REACHED,12,-5.710123089792393,0.000284121
AS,LN_COBYLA,FTOL_REACHED,27,-5.710123089738737,0.000473605
AS,LN_NELDERMEAD,FTOL_REACHED,30,-5.710123086641577,0.000552586
AS,LN_PRAXIS,MAXEVAL_REACHED,100000,-5.710123089792951,1.412094601
